"userName","userID","publicReposCount","followersCount","followingCount","subscriptionsCount"
"a1067111756","15028138","3","0","1","3"
"a1164714","20268814","20","0","2","20"
"a1169455661","20682742","5","0","0","0"
"a124779683","13581462","6","0","13","6"
"a1401601741","15319848","4","0","0","4"
"a14036471","20895126","1","0","0","0"
"a1422020484","14145936","17","0","0","18"
"a15jairogc","15013006","9","2","0","9"
"a1601501088","13651505","6","0","0","6"
"a18008112518","14163910","3","0","0","3"
"a1j9o94","4657703","6","4","5","11"
"a20185","14831358","68","4","0","30"
"a237112263","16874912","34","0","0","30"
"a252937166","16303294","20","0","0","20"
"a26412372","22516514","6","0","0","0"
"a289459798","3126111","64","6","10","30"
"a2fachrudin","19408400","3","0","0","3"
"a2open","21266881","2","0","0","0"
"a308143669","21136440","6","2","2","0"
"a3626a","4434752","16","4","3","21"
"a3adel","8898042","5","1","0","6"
"a5136683","22994022","3","0","0","0"
"a5566baga","12218099","42","0","2","30"
"a564068328","16536166","2","0","0","2"
"a5tra","19236839","6","0","0","6"
"a666sh","17966081","3","0","0","3"
"a6819010","11716261","3","0","0","3"
"a691529212","20177523","4","0","0","4"
"A7kindy","20186678","3","1","0","3"
"a7madM","7304788","15","6","25","15"
"a7madwaseem","8680819","3","1","0","4"
"a854363956","16779224","6","0","0","6"
"a932278490","18134869","12","0","0","13"
"a9595","3984517","99","11","26","30"
"a9raag","4312730","15","0","0","17"
"AA919","20225471","4","0","0","26"
"aaa4","12152328","18","1","0","18"
"aaa7789","20027297","9","0","0","9"
"aaahartman","19892198","2","0","0","2"
"aaam13","6691808","2","0","1","2"
"aabzac","10292563","4","0","0","4"
"AAC1","22018899","1","0","0","0"
"aadamsaleem","3430110","30","5","1","30"
"aadhi95","13394753","6","0","0","6"
"aadi888","11824529","8","1","0","10"
"aadimator","10383542","11","3","19","11"
"aaftab","787613","4","0","0","4"
"AakanxuShah","8707780","18","1","2","19"
"aakash-deep-sharma","19207479","14","0","0","14"
"Aakash1312","10784031","21","0","2","19"
"aakash21696","20816664","4","0","1","0"
"aakash37a","11958832","3","0","0","3"
"aakash7864","6556292","10","1","4","14"
"aakashchandhoke","8353976","14","0","1","14"
"AakashDPatel","23038829","8","0","0","0"
"aakhalilian","19363383","6","0","0","6"
"aakshay29","21677163","59","0","0","0"
"AAllanWang","1798831","5","0","1","6"
"aalzelai","19410346","2","0","0","3"
"aanandshekharroy","8607544","18","4","7","21"
"AangJnr","8545691","6","1","2","11"
"aanjna","4653485","33","1","6","30"
"AansariZaid","22815767","3","0","0","0"
"AAntunesNDS","20310446","1","0","0","1"
"aaravsolutions","17137612","2","0","0","2"
"AarellanoH","11378891","12","0","0","15"
"aariani","16314035","6","0","0","6"
"aarifi","6133478","11","0","10","11"
"AaronDoe","19678307","5","0","0","5"
"Aaronhuu","14302198","5","1","2","6"
"aaronli2k","11022377","3","0","0","3"
"aaronma37","9808893","5","1","0","6"
"aaronmcanerney","10101382","3","1","0","3"
"AaronNGray","85523","75","9","13","30"
"aaronsarkissian","6067357","2","0","0","2"
"aaronsgit","19741538","5","0","0","5"
"AaronStahley","10751577","4","0","1","4"
"aarontsay","12002382","8","0","0","8"
"aarsy","12845717","2","2","0","18"
"aaruff","1661141","45","6","1","30"
"aas-integration","17238578","11","0","0","0"
"aashishvanand","12725526","12","10","3","13"
"aashu1504","17333510","1","0","0","1"
"ab054","7526378","11","1","2","13"
"ab1324ab","21210784","5","0","0","0"
"aB9s","6719455","4","0","0","5"
"ABaadGirl","19794197","5","1","1","5"
"abahnj","14137351","4","0","0","4"
"abamyang","13127385","6","0","0","6"
"AbanoubG","4358907","5","0","1","5"
"abarac24","11329364","9","0","0","9"
"abarsys","16137690","3","0","0","0"
"abascorp","8915571","8","0","1","9"
"abbasulusoy","22443675","1","0","0","0"
"abberik","9673076","8","6","6","14"
"ABBIGADDU","21194797","2","0","0","0"
"abboblaise","20843061","2","0","0","0"
"abbychau","350283","48","3","11","30"
"abc89","17672810","5","1","1","5"
"abcdefzkulioau","13207753","6","0","0","5"
"Abdalion","8496050","5","1","0","5"
"abdallaadelessa","13536749","29","8","7","30"
"abdallahmahran10","15713715","10","1","2","11"
"abdelkrimi","7166674","3","0","0","5"
"AbdelRahman20120227","11238315","4","0","0","4"
"Abdielja","1057938","6","0","0","7"
"Abdietou","8965373","4","0","0","4"
"abdoelzamalkawy","16548842","3","0","0","2"
"abds040","2027011","4","0","0","4"
"abdul-git","6741506","7","2","13","10"
"abdulazizpr","19280493","11","3","3","12"
"abdulfatir","4028948","23","18","3","23"
"AbdulHaadi07101994","21332984","2","0","0","0"
"abdullah-chhatra","1777262","22","3","0","27"
"Abdullahkhan","3057739","4","1","5","2"
"abdullahmanzoordar","20185797","13","0","0","15"
"Abdurrahaman","18659842","6","0","0","6"
"abdussalam0","22571167","1","0","0","0"
"AbeDai","10707496","4","2","1","4"
"abedeidgithub","18664606","16","0","0","16"
"abeiro","1652823","11","2","0","11"
"abel123321","17777582","2","0","0","2"
"Abel150","19768203","1","1","1","1"
"abelsu7","15975045","10","6","48","11"
"abenitezgit","19168260","6","0","0","7"
"abhandary","3172242","6","0","0","18"
"abharath9","11601176","9","0","0","9"
"abhay-vaidya","2274254","3","8","6","5"
"Abhay93","15630137","6","0","0","6"
"abhaydalmia","18504782","7","0","0","8"
"abhi-r3v0","9742431","23","8","8","26"
"abhi094","8430889","3","0","4","3"
"abhi2172","20170188","14","0","0","14"
"abhi271086","5379454","15","2","7","18"
"abhi472","17140215","26","0","3","26"
"abhi6991","13555398","6","1","1","7"
"abhi7300","20026186","5","0","0","5"
"abhie1singh","16521201","1","0","0","1"
"abhigo1289","19532416","8","0","0","9"
"abhigun","12880815","14","2","0","15"
"abhijain21","1865945","11","0","1","23"
"abhijeet1289","14950247","6","0","0","6"
"abhijeet1997","11207022","15","4","3","22"
"abhijeetshiralkar","10797992","5","0","0","5"
"abhijit1997","23700705","7","0","0","0"
"abhijith0505","8765021","60","31","33","30"
"Abhikanchan","23207007","2","0","0","0"
"abhilash-dev","20469810","12","0","0","6"
"abhilash1in","9111980","18","5","2","22"
"abhilashdeshmukh","19900176","1","0","0","1"
"abhinav-sunderrajan","2417552","14","0","1","14"
"abhinav0419","6438096","20","0","3","20"
"abhinavagrawal1995","8617189","40","2","2","30"
"abhinavgarg89","6441627","6","0","0","6"
